alteredValue,value,numPaths,residents,personsPerBuilding,sprawl,areaPerResident,floors,elongation,heightParameter,manhattanDistance,averageDistance,area,ellipseArea
sprawl,7.878787878787881,1000000,2000000,11.38,7.878787878787881,38,3,1.5,1.2,true,5.577324821586942,69491576,69491941
sprawl,8.484848484848486,1000000,2000000,11.38,8.484848484848486,38,3,1.5,1.2,true,5.747312968253845,73792118,73792506
sprawl,9.090909090909092,1000000,2000000,11.38,9.090909090909092,38,3,1.5,1.2,true,5.917301114919573,78221767,78222179
sprawl,9.696969696969697,1000000,2000000,11.38,9.696969696969697,38,3,1.5,1.2,true,6.087289261587547,82780522,82780958
sprawl,10.303030303030303,1000000,2000000,11.38,10.303030303030303,38,3,1.5,1.2,true,6.25727740825408,87468384,87468844
sprawl,10.909090909090908,1000000,2000000,11.38,10.909090909090908,38,3,1.5,1.2,true,6.427265554920504,92285352,92285837
sprawl,11.515151515151514,1000000,2000000,11.38,11.515151515151514,38,3,1.5,1.2,true,6.5972537015873804,97231426,97231937
sprawl,12.12121212121212,1000000,2000000,11.38,12.12121212121212,38,3,1.5,1.2,true,6.767241848253289,102306606,102307144
sprawl,12.727272727272725,1000000,2000000,11.38,12.727272727272725,38,3,1.5,1.2,true,6.93722999492026,107510893,107511459
sprawl,13.33333333333333,1000000,2000000,11.38,13.33333333333333,38,3,1.5,1.2,true,7.107218141558191,112844286,112844880
sprawl,13.939393939393936,1000000,2000000,11.38,13.939393939393936,38,3,1.5,1.2,true,7.277206288253823,118306786,118307408
sprawl,14.545454545454541,1000000,2000000,11.38,14.545454545454541,38,3,1.5,1.2,true,7.4471944349203705,123898392,123899043
sprawl,15.151515151515147,1000000,2000000,11.38,15.151515151515147,38,3,1.5,1.2,true,7.617182581587507,129619104,129619786
sprawl,15.757575757575752,1000000,2000000,11.38,15.757575757575752,38,3,1.5,1.2,true,7.787170728253438,135468922,135469635
sprawl,16.36363636363636,1000000,2000000,11.38,16.36363636363636,38,3,1.5,1.2,true,7.957158874919704,141447847,141448591
sprawl,16.969696969696965,1000000,2000000,11.38,16.969696969696965,38,3,1.5,1.2,true,8.127147021587497,147555878,147556654
sprawl,17.57575757575757,1000000,2000000,11.38,17.57575757575757,38,3,1.5,1.2,true,8.29713516825224,153793016,153793825
sprawl,18.181818181818176,1000000,2000000,11.38,18.181818181818176,38,3,1.5,1.2,true,8.467123314921,160159260,160160102
sprawl,18.787878787878782,1000000,2000000,11.38,18.787878787878782,38,3,1.5,1.2,true,8.637111461587057,166654610,166655486
sprawl,19.393939393939387,1000000,2000000,11.38,19.393939393939387,38,3,1.5,1.2,true,8.80709960825354,173279066,173279978
sprawl,19.999999999999993,1000000,2000000,11.38,19.999999999999993,38,3,1.5,1.2,true,8.977087754890338,180032629,180033576
sprawl,20.6060606060606,1000000,2000000,11.38,20.6060606060606,38,3,1.5,1.2,true,9.147075901587103,186915298,186916282
sprawl,21.212121212121204,1000000,2000000,11.38,21.212121212121204,38,3,1.5,1.2,true,9.317064048254322,193927074,193928094
sprawl,21.81818181818181,1000000,2000000,11.38,21.81818181818181,38,3,1.5,1.2,true,9.487052194921354,201067956,201069014
sprawl,22.424242424242415,1000000,2000000,11.38,22.424242424242415,38,3,1.5,1.2,true,9.65704034158673,208337944,208339040
sprawl,23.03030303030302,1000000,2000000,11.38,23.03030303030302,38,3,1.5,1.2,true,9.82702848825351,215737039,215738173
sprawl,23.636363636363626,1000000,2000000,11.38,23.636363636363626,38,3,1.5,1.2,true,9.997016634920334,223265240,223266414
sprawl,24.24242424242423,1000000,2000000,11.38,24.24242424242423,38,3,1.5,1.2,true,10.167004781586593,230922547,230923761
sprawl,24.848484848484837,1000000,2000000,11.38,24.848484848484837,38,3,1.5,1.2,true,10.336992928255015,238708960,238710216
sprawl,25.454545454545443,1000000,2000000,11.38,25.454545454545443,38,3,1.5,1.2,true,10.506981074920827,246624480,246625777
sprawl,26.060606060606048,1000000,2000000,11.38,26.060606060606048,38,3,1.5,1.2,true,10.6769692215855,254669106,254670446
sprawl,26.666666666666654,1000000,2000000,11.38,26.666666666666654,38,3,1.5,1.2,true,10.846957368288288,262842839,262844222
sprawl,27.27272727272726,1000000,2000000,11.38,27.27272727272726,38,3,1.5,1.2,true,11.016945514920968,271145678,271147104
sprawl,27.878787878787865,1000000,2000000,11.38,27.878787878787865,38,3,1.5,1.2,true,11.186933661585293,279577623,279579094
sprawl,28.48484848484847,1000000,2000000,11.38,28.48484848484847,38,3,1.5,1.2,true,11.356921808253295,288138675,288140190
sprawl,29.090909090909076,1000000,2000000,11.38,29.090909090909076,38,3,1.5,1.2,true,11.526909954917924,296828833,296830394
sprawl,29.69696969696968,1000000,2000000,11.38,29.69696969696968,38,3,1.5,1.2,true,11.69689810158636,305648097,305649705
sprawl,30.303030303030287,1000000,2000000,11.38,30.303030303030287,38,3,1.5,1.2,true,11.866886248254467,314596467,314598122
sprawl,30.909090909090892,1000000,2000000,11.38,30.909090909090892,38,3,1.5,1.2,true,12.036874394921826,323673944,323675647
sprawl,31.515151515151498,1000000,2000000,11.38,31.515151515151498,38,3,1.5,1.2,true,12.206862541587181,332880528,332882279
sprawl,32.1212121212121,1000000,2000000,11.38,32.1212121212121,38,3,1.5,1.2,true,12.376850688253766,342216217,342218017
sprawl,32.72727272727271,1000000,2000000,11.38,32.72727272727271,38,3,1.5,1.2,true,12.546838834919754,351681013,351682863
sprawl,33.33333333333332,1000000,2000000,11.38,33.33333333333332,38,3,1.5,1.2,true,12.71682698159033,361274915,361276816
sprawl,33.93939393939393,1000000,2000000,11.38,33.93939393939393,38,3,1.5,1.2,true,12.886815128253897,370997924,370999875
sprawl,34.54545454545454,1000000,2000000,11.38,34.54545454545454,38,3,1.5,1.2,true,13.056803274920842,380850039,380852042
sprawl,35.15151515151515,1000000,2000000,11.38,35.15151515151515,38,3,1.5,1.2,true,13.226791421589265,390831260,390833316
sprawl,35.75757575757576,1000000,2000000,11.38,35.75757575757576,38,3,1.5,1.2,true,13.396779568252958,400941588,400943697
sprawl,36.36363636363637,1000000,2000000,11.38,36.36363636363637,38,3,1.5,1.2,true,13.566767714918985,411181022,411183185
sprawl,36.969696969696976,1000000,2000000,11.38,36.969696969696976,38,3,1.5,1.2,true,13.736755861586955,421549562,421551779
sprawl,37.575757575757585,1000000,2000000,11.38,37.575757575757585,38,3,1.5,1.2,true,13.906744008251966,432047209,432049481
sprawl,38.181818181818194,1000000,2000000,11.38,38.181818181818194,38,3,1.5,1.2,true,14.076732154921007,442673962,442676290
sprawl,38.7878787878788,1000000,2000000,11.38,38.7878787878788,38,3,1.5,1.2,true,14.246720301587201,453429821,453432206
sprawl,39.39393939393941,1000000,2000000,11.38,39.39393939393941,38,3,1.5,1.2,true,14.416708448253367,464314787,464317229
sprawl,40.00000000000002,1000000,2000000,11.38,40.00000000000002,38,3,1.5,1.2,true,14.586696594934528,475328858,475331359
sprawl,40.60606060606063,1000000,2000000,11.38,40.60606060606063,38,3,1.5,1.2,true,14.75668474158719,486472037,486474596
sprawl,41.21212121212124,1000000,2000000,11.38,41.21212121212124,38,3,1.5,1.2,true,14.926672888253842,497744321,497746940
sprawl,41.81818181818185,1000000,2000000,11.38,41.81818181818185,38,3,1.5,1.2,true,15.096661034921652,509145712,509148390
sprawl,42.42424242424246,1000000,2000000,11.38,42.42424242424246,38,3,1.5,1.2,true,15.266649181586546,520676210,520678948
sprawl,43.03030303030307,1000000,2000000,11.38,43.03030303030307,38,3,1.5,1.2,true,15.43663732825335,532335813,532338613
sprawl,43.636363636363676,1000000,2000000,11.38,43.636363636363676,38,3,1.5,1.2,true,15.606625474920056,544124523,544127385
sprawl,44.242424242424285,1000000,2000000,11.38,44.242424242424285,38,3,1.5,1.2,true,15.776613621587112,556042340,556045264
sprawl,44.848484848484894,1000000,2000000,11.38,44.848484848484894,38,3,1.5,1.2,true,15.946601768254968,568089262,568092250
sprawl,45.4545454545455,1000000,2000000,11.38,45.4545454545455,38,3,1.5,1.2,true,16.11658991492083,580265291,580268343
sprawl,46.06060606060611,1000000,2000000,11.38,46.06060606060611,38,3,1.5,1.2,true,16.286578061585235,592570427,592573543
sprawl,46.66666666666672,1000000,2000000,11.38,46.66666666666672,38,3,1.5,1.2,true,16.456566208413285,605004668,605007851
